Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales
1,Wii Sports,Wii,2006,Sports,41.49,29.02,3.77
2,Super Mario Bros.,NES,1985,Platform,29.08,3.58,6.81
3,Mario Kart Wii,Wii,2008,Racing,15.85,12.88,3.79
4,Wii Sports Resort,Wii,2009,Sports,15.75,11.01,3.28
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,11.27,8.89,10.22
6,Tetris,GB,1989,Puzzle,23.2,2.26,4.22
7,New Super Mario Bros.,DS,2006,Platform,11.38,9.23,6.5
8,Wii Play,Wii,2006,Misc,14.03,9.2,2.93
9,New Super Mario Bros. Wii,Wii,2009,Platform,14.59,7.06,4.7
10,Duck Hunt,NES,1984,Shooter,26.93,0.63,0.28
11,Nintendogs,DS,2005,Simulation,9.07,11.0,1.93
12,Mario Kart DS,DS,2005,Racing,9.81,7.57,4.13
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,9.0,6.18,7.2
14,Wii Fit,Wii,2007,Sports,8.94,8.03,3.6
15,Wii Fit Plus,Wii,2009,Sports,9.09,8.59,2.53
16,Kinect Adventures!,X360,2010,Misc,14.97,4.94,0.24
17,Grand Theft Auto V,PS3,2013,Action,7.01,9.27,0.97
18,Grand Theft Auto: San Andreas,PS2,2004,Action,9.43,0.4,0.41
19,Super Mario World,SNES,1990,Platform,12.78,3.75,3.54
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.75,9.26,4.16
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.42,4.52,6.04
22,Super Mario Land,GB,1989,Platform,10.83,2.71,4.18
23,Super Mario Bros. 3,NES,1988,Platform,9.54,3.44,3.84
24,Grand Theft Auto V,X360,2013,Action,9.63,5.31,0.06
25,Grand Theft Auto: Vice City,PS2,2002,Action,8.41,5.49,0.47
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,6.06,3.9,5.38
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.57,3.28,5.65
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,3.44,5.36,5.32
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,6.85,5.09,1.87
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.03,4.28,0.13
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,5.89,5.04,3.12
32,Call of Duty: Black Ops,X360,2010,Shooter,9.67,3.73,0.11
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,5.17,4.05,4.34
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,5.77,5.81,0.35
35,Call of Duty: Black Ops II,PS3,2012,Shooter,4.99,5.88,0.65
36,Call of Duty: Black Ops II,X360,2012,Shooter,8.25,4.3,0.07
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,8.52,3.63,0.08
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.82,0.49
39,Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3
